Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,EMPTRY
14823-8594,C,Sidney,Crosby,3.855932203,59,9300,ARI@PIT,PIT,ARI,,,
14823-8595,C,Evgeni,Malkin,4.069,50,9000,ARI@PIT,PIT,ARI,,,
14823-8655,C,Steven,Stamkos,3.464516129,62,8600,TB@TOR,TB,TOR,,,
14823-8556,C,Claude,Giroux,3.438793103,58,7800,CGY@PHI,PHI,CGY,,,
14823-12417,C,Tyler,Seguin,4.561904762,63,7600,DET@DAL,DAL,DET,,,
14823-8294,C,Derick,Brassard,3.254098361,61,7400,CLS@NYR,NYR,CLS,,,
14823-9269,C,Logan,Couture,3.251612903,31,7100,MON@SJ,SJ,MON,,,
14823-12448,C,Derek,Stepan,2.698076923,52,6400,CLS@NYR,NYR,CLS,,,
14823-8334,C,Pavel,Datsyuk,3.208510638,47,6200,DET@DAL,DET,DAL,,,
14823-8614,C,Joe,Thornton,3.390163934,61,6100,MON@SJ,SJ,MON,,,
14823-8515,C,Brandon,Dubinsky,2.700892857,56,6000,CLS@NYR,CLS,NYR,,,
14823-9189,C,Mikael,Backlund,2.191803279,61,5700,CGY@PHI,CGY,PHI,,,
14823-8534,C,Jason,Spezza,3.214035088,57,5500,DET@DAL,DAL,DET,,,
14823-15308,C,Sean,Couturier,2.41627907,43,5200,CGY@PHI,PHI,CGY,,,
14823-8619,C,Patrick,Marleau,2.485245902,61,5100,MON@SJ,SJ,MON,,,
14823-8575,C,Martin,Hanzal,2.697959184,49,5000,ARI@PIT,ARI,PIT,,,
14823-58332,C,Samuel,Bennett,2.059166667,60,4600,CGY@PHI,CGY,PHI,,,
14823-58990,C,Kevin,Hayes,2.128333333,60,4500,CLS@NYR,NYR,CLS,,,
14823-8397,C,Brad,Richardson,1.743548387,62,4400,ARI@PIT,ARI,PIT,,,
14823-8972,C,Tyler,Bozak,2.425531915,47,4300,TB@TOR,TOR,TB,IR,Head,
14823-54743,C,Alexander,Wennberg,1.703921569,51,4000,CLS@NYR,CLS,NYR,,,
14823-9990,C,Lars,Eller,1.435483871,62,3900,MON@SJ,MON,SJ,,,
14823-8295,C,Antoine,Vermette,1.694642857,56,3800,ARI@PIT,ARI,PIT,,,
14823-9104,C,David,Desharnais,1.642105263,57,3700,MON@SJ,MON,SJ,IR,Foot,
14823-11284,C,Cody,Eakin,1.779365079,63,3600,DET@DAL,DAL,DET,,,
14823-8236,C,Matt,Cullen,1.338333333,60,3500,ARI@PIT,PIT,ARI,,,
14823-21921,C,Riley,Sheahan,1.129508197,61,3400,DET@DAL,DET,DAL,,,
14823-23928,C,Radek,Faksa,1.188461538,26,3300,DET@DAL,DAL,DET,,,
14823-14155,C,Mark,Arcobello,1.41,20,3200,TB@TOR,TOR,TB,,,
14823-9061,C,Peter,Holland,1.825454545,55,3100,TB@TOR,TOR,TB,,,
14823-43011,C,Laurent,Dauphin,2.666666667,3,3000,ARI@PIT,ARI,PIT,,,
14823-8608,D,Kris,Letang,3.534,50,7400,ARI@PIT,PIT,ARI,,,
14823-8426,D,Brent,Burns,3.868852459,61,6800,MON@SJ,SJ,MON,,,
14823-12244,D,Oliver,Ekman-Larsson,3.401612903,62,6300,ARI@PIT,ARI,PIT,,,
14823-9107,D,P.K.,Subban,3.234677419,62,6100,MON@SJ,MON,SJ,,,
14823-8669,D,Victor,Hedman,2.675409836,61,5900,TB@TOR,TB,TOR,,,
14823-14457,D,John,Klingberg,3.050793651,63,5800,DET@DAL,DAL,DET,,,
14823-12411,D,Ryan,McDonagh,2.248214286,56,5700,CLS@NYR,NYR,CLS,,,
14823-9079,D,Keith,Yandle,2.367741935,62,5600,CLS@NYR,NYR,CLS,,,
14823-8628,D,Marc-Edouard,Vlasic,2.504310345,58,5200,MON@SJ,SJ,MON,,,
14823-54521,D,Shayne,Gostisbehere,3.213953488,43,5100,CGY@PHI,PHI,CGY,,,
14823-11158,D,T.J.,Brodie,2.432692308,52,4900,CGY@PHI,CGY,PHI,,,
14823-8918,D,Anton,Stralman,2.15,62,4700,TB@TOR,TB,TOR,,,
14823-15356,D,Dougie,Hamilton,1.881967213,61,4600,CGY@PHI,CGY,PHI,,,
14823-8506,D,Mark,Streit,1.778571429,42,4400,CGY@PHI,PHI,CGY,,,
14823-9270,D,Jason,Demers,2.151785714,56,4300,DET@DAL,DAL,DET,,,
14823-8726,D,Mike,Green,1.67962963,54,4200,DET@DAL,DET,DAL,,,
14823-8348,D,Niklas,Kronwall,1.225531915,47,4100,DET@DAL,DET,DAL,,,
14823-12094,D,Kevin,Connauton,1.766666667,45,4000,ARI@PIT,ARI,PIT,,,
14823-42862,D,Olli,Maatta,1.701851852,54,3900,ARI@PIT,PIT,ARI,,,
14823-8956,D,Michael,Stone,1.961290323,62,3800,ARI@PIT,ARI,PIT,,,
14823-8611,D,Alex,Goligoski,1.787301587,63,3700,DET@DAL,DAL,DET,,,
14823-12952,D,Jake,Gardiner,1.473684211,57,3600,TB@TOR,TOR,TB,,,
14823-8626,D,Dan,Boyle,1.518181818,55,3500,CLS@NYR,NYR,CLS,,,
14823-37881,D,Morgan,Rielly,1.691666667,60,3400,TB@TOR,TOR,TB,,,
14823-15302,D,Nathan,Beaulieu,1.288392857,56,3300,MON@SJ,MON,SJ,IR,Lower body,
14823-8287,D,Kyle,Quincey,1.537037037,27,3200,DET@DAL,DET,DAL,,,
14823-54522,D,Viktor,Loov,2.1,4,3100,TB@TOR,TOR,TB,,,
14823-11410,D,Justin,Braun,1.589830508,59,3000,MON@SJ,SJ,MON,,,
14823-8532,G,Henrik,Lundqvist,5.165384615,52,10000,CLS@NYR,NYR,CLS,,,
14823-8612,G,Marc-Andre,Fleury,4.933333333,45,9200,ARI@PIT,PIT,ARI,,,
14823-15400,G,Petr,Mrazek,5.004651163,43,9100,DET@DAL,DET,DAL,,,
14823-8883,G,Ben,Bishop,4.765957447,47,8900,TB@TOR,TB,TOR,,,
14823-9302,G,Michal,Neuvirth,5.064285714,28,8700,CGY@PHI,PHI,CGY,,,
14823-9278,G,Martin,Jones,4.619230769,52,8400,MON@SJ,SJ,MON,,,
14823-54065,G,Joonas,Korpisalo,4.747826087,23,8300,CLS@NYR,CLS,NYR,,,
14823-12163,G,Sergei,Bobrovsky,3.896296296,27,8000,CLS@NYR,CLS,NYR,IR,Groin,
14823-54565,G,Andrei,Vasilevskii,4.376470588,17,7900,TB@TOR,TB,TOR,,,
14823-40050,G,Antti,Raanta,3.057142857,14,7900,CLS@NYR,NYR,CLS,,,
14823-8312,G,Steve,Mason,4.172972973,37,7800,CGY@PHI,PHI,CGY,,,
14823-8172,G,Kari,Lehtonen,4.02,30,7700,DET@DAL,DAL,DET,,,
14823-39844,G,Mike,Condon,3.36097561,41,7300,MON@SJ,MON,SJ,,,
